1766957508.343363 client started (1051671): version 3.2a, socket /tmp/tmux-1000/default, protocol 8
1766957508.343420 on Linux 6.8.0-76060800daily20240311-generic #202403110203~1714077665~22.04~4c8e9a0 SMP PREEMPT_DYNAMIC Thu A
1766957508.343430 using libevent 2.1.12-stable (poll); ncurses 6.3
1766957508.343474 flags are 0x10010000
1766957508.343481 socket is /tmp/tmux-1000/default
1766957508.343504 trying connect
1766957508.343630 add peer 0x64a1aaa260f0: 6 ((nil))
1766957508.344688 sending message 100 to peer 0x64a1aaa260f0 (4 bytes)
1766957508.344718 sending message 111 to peer 0x64a1aaa260f0 (8 bytes)
1766957508.344726 sending message 101 to peer 0x64a1aaa260f0 (14 bytes)
1766957508.344734 sending message 109 to peer 0x64a1aaa260f0 (4 bytes)
1766957508.344741 sending message 102 to peer 0x64a1aaa260f0 (11 bytes)
1766957508.344748 sending message 108 to peer 0x64a1aaa260f0 (33 bytes)
1766957508.344755 sending message 112 to peer 0x64a1aaa260f0 (70 bytes)
1766957508.344763 sending message 112 to peer 0x64a1aaa260f0 (5 bytes)
1766957508.344770 sending message 112 to peer 0x64a1aaa260f0 (5 bytes)
1766957508.344777 sending message 112 to peer 0x64a1aaa260f0 (6 bytes)
1766957508.344784 sending message 112 to peer 0x64a1aaa260f0 (6 bytes)
1766957508.344791 sending message 112 to peer 0x64a1aaa260f0 (11 bytes)
1766957508.344798 sending message 112 to peer 0x64a1aaa260f0 (10 bytes)
1766957508.344805 sending message 112 to peer 0x64a1aaa260f0 (13 bytes)
1766957508.344812 sending message 112 to peer 0x64a1aaa260f0 (14 bytes)
1766957508.344819 sending message 112 to peer 0x64a1aaa260f0 (9 bytes)
1766957508.344826 sending message 112 to peer 0x64a1aaa260f0 (21 bytes)
1766957508.344833 sending message 112 to peer 0x64a1aaa260f0 (19 bytes)
1766957508.344840 sending message 112 to peer 0x64a1aaa260f0 (11 bytes)
1766957508.344847 sending message 112 to peer 0x64a1aaa260f0 (21 bytes)
1766957508.344853 sending message 112 to peer 0x64a1aaa260f0 (13 bytes)
1766957508.344860 sending message 112 to peer 0x64a1aaa260f0 (7 bytes)
1766957508.344868 sending message 112 to peer 0x64a1aaa260f0 (13 bytes)
1766957508.344874 sending message 112 to peer 0x64a1aaa260f0 (7 bytes)
1766957508.344881 sending message 112 to peer 0x64a1aaa260f0 (13 bytes)
1766957508.344888 sending message 112 to peer 0x64a1aaa260f0 (9 bytes)
1766957508.344895 sending message 112 to peer 0x64a1aaa260f0 (21 bytes)
1766957508.344901 sending message 112 to peer 0x64a1aaa260f0 (13 bytes)
1766957508.344908 sending message 112 to peer 0x64a1aaa260f0 (9 bytes)
1766957508.344915 sending message 112 to peer 0x64a1aaa260f0 (16 bytes)
1766957508.344922 sending message 112 to peer 0x64a1aaa260f0 (13 bytes)
1766957508.344928 sending message 112 to peer 0x64a1aaa260f0 (9 bytes)
1766957508.344935 sending message 112 to peer 0x64a1aaa260f0 (9 bytes)
1766957508.344942 sending message 112 to peer 0x64a1aaa260f0 (12 bytes)
1766957508.344949 sending message 112 to peer 0x64a1aaa260f0 (8 bytes)
1766957508.344956 sending message 112 to peer 0x64a1aaa260f0 (12 bytes)
1766957508.344963 sending message 112 to peer 0x64a1aaa260f0 (8 bytes)
1766957508.344970 sending message 112 to peer 0x64a1aaa260f0 (13 bytes)
1766957508.344977 sending message 112 to peer 0x64a1aaa260f0 (7 bytes)
1766957508.344984 sending message 112 to peer 0x64a1aaa260f0 (7 bytes)
1766957508.344990 sending message 112 to peer 0x64a1aaa260f0 (9 bytes)
1766957508.344997 sending message 112 to peer 0x64a1aaa260f0 (12 bytes)
1766957508.345004 sending message 112 to peer 0x64a1aaa260f0 (6 bytes)
1766957508.345011 sending message 112 to peer 0x64a1aaa260f0 (9 bytes)
1766957508.345018 sending message 112 to peer 0x64a1aaa260f0 (15 bytes)
1766957508.345024 sending message 112 to peer 0x64a1aaa260f0 (13 bytes)
1766957508.345031 sending message 112 to peer 0x64a1aaa260f0 (9 bytes)
1766957508.345038 sending message 112 to peer 0x64a1aaa260f0 (12 bytes)
1766957508.345044 sending message 112 to peer 0x64a1aaa260f0 (8 bytes)
1766957508.345051 sending message 112 to peer 0x64a1aaa260f0 (14 bytes)
1766957508.345058 sending message 112 to peer 0x64a1aaa260f0 (11 bytes)
1766957508.345080 sending message 112 to peer 0x64a1aaa260f0 (9 bytes)
1766957508.345087 sending message 112 to peer 0x64a1aaa260f0 (10 bytes)
1766957508.345094 sending message 112 to peer 0x64a1aaa260f0 (10 bytes)
1766957508.345101 sending message 112 to peer 0x64a1aaa260f0 (10 bytes)
1766957508.345108 sending message 112 to peer 0x64a1aaa260f0 (10 bytes)
1766957508.345114 sending message 112 to peer 0x64a1aaa260f0 (11 bytes)
1766957508.345122 sending message 112 to peer 0x64a1aaa260f0 (12 bytes)
1766957508.345129 sending message 112 to peer 0x64a1aaa260f0 (12 bytes)
1766957508.345136 sending message 112 to peer 0x64a1aaa260f0 (12 bytes)
1766957508.345143 sending message 112 to peer 0x64a1aaa260f0 (12 bytes)
1766957508.345150 sending message 112 to peer 0x64a1aaa260f0 (12 bytes)
1766957508.345156 sending message 112 to peer 0x64a1aaa260f0 (11 bytes)
1766957508.345163 sending message 112 to peer 0x64a1aaa260f0 (11 bytes)
1766957508.345170 sending message 112 to peer 0x64a1aaa260f0 (12 bytes)
1766957508.345176 sending message 112 to peer 0x64a1aaa260f0 (12 bytes)
1766957508.345183 sending message 112 to peer 0x64a1aaa260f0 (12 bytes)
1766957508.345190 sending message 112 to peer 0x64a1aaa260f0 (12 bytes)
1766957508.345197 sending message 112 to peer 0x64a1aaa260f0 (12 bytes)
1766957508.345203 sending message 112 to peer 0x64a1aaa260f0 (9 bytes)
1766957508.345210 sending message 112 to peer 0x64a1aaa260f0 (12 bytes)
1766957508.345217 sending message 112 to peer 0x64a1aaa260f0 (13 bytes)
1766957508.345224 sending message 112 to peer 0x64a1aaa260f0 (13 bytes)
1766957508.345230 sending message 112 to peer 0x64a1aaa260f0 (13 bytes)
1766957508.345237 sending message 112 to peer 0x64a1aaa260f0 (13 bytes)
1766957508.345244 sending message 112 to peer 0x64a1aaa260f0 (13 bytes)
1766957508.345251 sending message 112 to peer 0x64a1aaa260f0 (8 bytes)
1766957508.345258 sending message 112 to peer 0x64a1aaa260f0 (11 bytes)
1766957508.345265 sending message 112 to peer 0x64a1aaa260f0 (11 bytes)
1766957508.345272 sending message 112 to peer 0x64a1aaa260f0 (11 bytes)
1766957508.345278 sending message 112 to peer 0x64a1aaa260f0 (12 bytes)
1766957508.345285 sending message 112 to peer 0x64a1aaa260f0 (12 bytes)
1766957508.345292 sending message 112 to peer 0x64a1aaa260f0 (12 bytes)
1766957508.345299 sending message 112 to peer 0x64a1aaa260f0 (12 bytes)
1766957508.345306 sending message 112 to peer 0x64a1aaa260f0 (13 bytes)
1766957508.345312 sending message 112 to peer 0x64a1aaa260f0 (13 bytes)
1766957508.345319 sending message 112 to peer 0x64a1aaa260f0 (13 bytes)
1766957508.345326 sending message 112 to peer 0x64a1aaa260f0 (8 bytes)
1766957508.345333 sending message 112 to peer 0x64a1aaa260f0 (13 bytes)
1766957508.345339 sending message 112 to peer 0x64a1aaa260f0 (13 bytes)
1766957508.345346 sending message 112 to peer 0x64a1aaa260f0 (13 bytes)
1766957508.345353 sending message 112 to peer 0x64a1aaa260f0 (13 bytes)
1766957508.345360 sending message 112 to peer 0x64a1aaa260f0 (13 bytes)
1766957508.345367 sending message 112 to peer 0x64a1aaa260f0 (12 bytes)
1766957508.345374 sending message 112 to peer 0x64a1aaa260f0 (12 bytes)
1766957508.345380 sending message 112 to peer 0x64a1aaa260f0 (12 bytes)
1766957508.345387 sending message 112 to peer 0x64a1aaa260f0 (12 bytes)
1766957508.345394 sending message 112 to peer 0x64a1aaa260f0 (13 bytes)
1766957508.345400 sending message 112 to peer 0x64a1aaa260f0 (8 bytes)
1766957508.345407 sending message 112 to peer 0x64a1aaa260f0 (13 bytes)
